"Position in Read (bp)","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
1,0,0,0.0032309460007956202,0.003432880125845347,0.0084463371505328,0.0612359443413628,0,0,0,0,0.0024981814708410787,0.013335880498754584
2,0,0,0.0032309460007956202,0.003432880125845347,0.004734035741629271,0.048804843293199604,0,0,0,0,0.00003673796280648645,0.004702459239230266
3,0,0,0.0032309460007956202,0.003432880125845347,0.004597804497265839,0.029664353460137377,0,0,0,0,0,0.0000734759256129729
4,0,0,0.0032309460007956202,0.003432880125845347,0.004597804497265839,0.018493391422335928,0,0,0,0,0,0
5,0,0,0.0032309460007956202,0.003432880125845347,0.004597804497265839,0.011170962037801446,0,0,0,0,0,0.0000734759256129729
6,0,0,0.0032309460007956202,0.003432880125845347,0.004597804497265839,0.0095021292943494,0,0,0,0,0,0.0000734759256129729
7,0,0,0.0032309460007956202,0.003432880125845347,0.004597804497265839,0.0058579435076275875,0,0,0,0,0,0
8,0,0,0.0032309460007956202,0.003432880125845347,0.004597804497265839,0.0073564871956253415,0,0,0,0,0,0
9,0,0,0.0032309460007956202,0.003432880125845347,0.004597804497265839,0.007901412173079072,0,0,0,0,0,0
12,0,0,0.0032309460007956202,0.003432880125845347,0.004597804497265839,0.005020121354792479,0,0,0,0,0,0
17,0,0,0.0032309460007956202,0.003432880125845347,0.004597804497265839,0.004720412617192928,0,0,0,0,0,0
22,0,0,0.0037559747259249083,0.003957908850974635,0.005006498230356135,0.005966928503118333,0,0,0,0,0,0
27,0,0,0.045233244011138686,0.04519285718612874,0.016865428052192915,0.01717875991422881,0,0,0,0,0,0
32,0,0,0.5012408851984306,0.4982926469727046,0.13256662389005594,0.13315922980303688,0,0,0,0,0.00022158947813691231,0.000007721227252009815
37,0,0,0.14243959739459996,0.14162226227125177,0.05320823640790847,0.053494216797060956,0,0,0.0001286096991433308,0,0.00034132560158443343,0
42,0,0,0,0,0,0.0003103728681694691,0,0,0,0,0,0
47,0,0,0,0,0,0.0007866880135271353,0,0,0,0,0,0
52,0,0,0,0,0,0.00039423801430196954,0,0,0,0,0,0
57,0,0,0,0,0,0.0005343761696158413,0,0,0,0,0,0
62,0,0,0,0,0,0.001033446371649285,0,0,0,0,0,0
67,0,0,0,0,0,0.0004035493559939259,0,0,0,0,0,0
72,0,0,0,0,0,0.0014714939136546792,0,0,0,0,0,0
77,0,0,0,0,0,0.001294054368247986,0,0,0,0,0,0
82,0,0,0,0,0,0.0009406471107946253,0,0,0,0,0,0
87,0,0,0,0,0,0.0008906128609268259,0,0,0,0,0,0
92,0,0,0,0,0,0.00010588244588775792,0,0,0,0,0,0
97,0,0,0,0,0,0.00012534107395240348,0,0,0,0,0,0
102,0,0,0,0,0,0.000051502402329556656,0,0,0,0,0,0
107,0,0,0,0,0,0.00008831691713197171,0,0,0,0,0,0.000012122666841233067
112,0,0,0,0,0,0.00020010028662546965,0,0,0,0,0,0
117,0,0,0,0,0,0.00020645969207663071,0,0,0,0,0,0
122,0,0,0,0,0,0.0003683130940441931,0,0,0,0,0,0.0000139255789211297
127,0,0,0,0,0,0.0005711715871595818,0,0,0,0,0,0
132,0,0,0,0,0,0.0008394980299261355,0,0,0,0,0,0.000015391108064355765
137,0,0,0,0,0,0.0012665529345065479,0,0,0,0,0,0.00003250778195665315
142,0,0,0,0,0,0.0012240235769195888,0,0,0,0,0,0
147,0,0,0,0,0,0.0013676927105107997,0,0,0,0,0,0.000054750580082395966
150,0,0,0,0,0,0.005692472908755133,0,0,0,0,0,0.00023806278786998677